distance,cab_type,destination,source,price,surge_multiplier,id,product_id,name,datetime,temp,location,clouds,pressure,rain,humidity,wind
3.15,Uber,Northeastern University,West End,25,1,2290cc7f-9db7-4080-8098-c5bde59e0c0b,6c84fd89-3f11-4782-9b50-97c468b19529,Black,28-11-2018 18:06,41.24,West End,0.94,991.41,0,0.63,9.73
3.15,Uber,Northeastern University,West End,16,1,3670c3dd-0432-4ef8-9fbc-cdc899b8127e,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,28-11-2018 18:06,41.24,West End,0.94,991.41,0,0.63,9.73
3.15,Uber,Northeastern University,West End,10.5,1,594abb6b-863f-421c-81c9-7f570e4f342b,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,28-11-2018 18:06,41.24,West End,0.94,991.41,0,0.63,9.73
3.15,Uber,Northeastern University,West End,10.5,1,61bc531d-b5f3-4f2b-b57e-a8ebd4656b15,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,28-11-2018 18:06,41.24,West End,0.94,991.41,0,0.63,9.73
1.5,Uber,Back Bay,Fenway,12,1,0fbbc68a-bc80-43f4-ac7c-289fa0ee65b1,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,27-11-2018 02:15,44.11,Fenway,1,1003.08,0.117,0.91,13.58
1.5,Uber,Back Bay,Fenway,15,1,356a9876-0b21-48ab-bc53-866454d721d7,6c84fd89-3f11-4782-9b50-97c468b19529,Black,27-11-2018 02:15,44.11,Fenway,1,1003.08,0.117,0.91,13.58
1.5,Uber,Back Bay,Fenway,7.5,1,4c2f3c67-7360-4d43-ad32-ac8bd73d9850,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,27-11-2018 02:15,44.11,Fenway,1,1003.08,0.117,0.91,13.58
1.5,Uber,Back Bay,Fenway,0,1,690001a9-5690-4b01-a1b4-f0fbc231b6cb,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,27-11-2018 02:15,44.11,Fenway,1,1003.08,0.117,0.91,13.58
1.5,Uber,Back Bay,Fenway,6.5,1,6d69ffb1-476e-41c9-a014-e36a207f5c27,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,27-11-2018 02:15,44.11,Fenway,1,1003.08,0.117,0.91,13.58
2.27,Uber,Boston University,Beacon Hill,9.5,1,bd863ca3-0822-49ee-aacb-087bc2693ccb,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,26-11-2018 05:13,40.64,Beacon Hill,0.93,1013.76,0,0.92,2.99
3.07,Uber,North Station,Fenway,19.5,1,c42074e8-8195-4a5f-96bd-46cb878a292a,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,28-11-2018 13:02,36.85,Fenway,0.63,991.58,0,0.7,6.36
3.07,Uber,North Station,Fenway,35,1,de3ba2b2-bd4a-4ebe-bf13-e22d40c35aa8,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,28-11-2018 13:02,36.85,Fenway,0.63,991.58,0,0.7,6.36
3.07,Uber,North Station,Fenway,25,1,f9e053b7-d369-4eb9-a63e-ccd1fcb6c636,6c84fd89-3f11-4782-9b50-97c468b19529,Black,28-11-2018 13:02,36.85,Fenway,0.63,991.58,0,0.7,6.36
1.22,Uber,West End,North End,16,1,bb22d105-7099-423c-8360-7cf54e5e8ed9,6c84fd89-3f11-4782-9b50-97c468b19529,Black,29-11-2018 01:02,38.72,North End,0.7,997.11,0,0.7,9.97
1.22,Uber,West End,North End,7,1,e327de5a-cfeb-4513-b9b8-da81d0804bab,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,29-11-2018 01:02,38.72,North End,0.7,997.11,0,0.7,9.97
1.22,Uber,West End,North End,6.5,1,f08a34cf-5727-4577-aadd-150c8781388e,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,29-11-2018 01:02,38.72,North End,0.7,997.11,0,0.7,9.97
1.72,Lyft,Haymarket Square,Theatre District,22.5,1.25,1853bb8d-2acb-46b2-a956-608a02784803,lyft_lux,Lux Black,26-11-2018 06:49,41.12,Theatre District,0.98,1014.34,0,0.92,1.81
1.72,Lyft,Haymarket Square,Theatre District,19.5,1.25,40e9cb11-a22c-489d-b8e2-7f6989554aa9,lyft_premier,Lux,26-11-2018 06:49,41.12,Theatre District,0.98,1014.34,0,0.92,1.81
1.06,Lyft,North End,West End,26,1,106309b5-b58c-4577-a88a-c03474d887aa,lyft_luxsuv,Lux Black XL,29-11-2018 06:41,37.44,West End,0.61,1000.6,0,0.71,10.54
1.06,Lyft,North End,West End,16.5,1,139a41c7-08ce-469c-8703-338ecc4a104f,lyft_lux,Lux Black,29-11-2018 06:41,37.44,West End,0.61,1000.6,0,0.71,10.54
3.07,Uber,North Station,Fenway,10,1,9329d36f-8d67-48ee-a0bd-9e4912429c68,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,28-11-2018 07:34,34.87,Fenway,0.16,991.79,0,0.8,6.54
3.07,Uber,North Station,Fenway,9.5,1,9eaf76a2-26ad-46b0-8441-0c3dcc5bd414,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,28-11-2018 07:34,34.87,Fenway,0.16,991.79,0,0.8,6.54
1.5,Lyft,Theatre District,North End,19.5,1,69ce5188-a1ac-46c9-8888-3103dd12a4c2,lyft_premier,Lux,28-11-2018 07:34,35.04,North End,0.14,991.75,0,0.8,6.72
1.5,Lyft,Theatre District,North End,22.5,1,9197e295-370f-4dd8-bd70-d880460cf253,lyft_lux,Lux Black,28-11-2018 07:34,35.04,North End,0.14,991.75,0,0.8,6.72
1.5,Lyft,Theatre District,North End,30,1,a6365102-308d-45aa-85b7-f15e4f1a33fa,lyft_luxsuv,Lux Black XL,28-11-2018 07:34,35.04,North End,0.14,991.75,0,0.8,6.72
1.5,Lyft,Theatre District,North End,9,1,d6dfb845-45c7-4e34-bea8-26185c5bf7de,lyft,Lyft,28-11-2018 07:34,35.04,North End,0.14,991.75,0,0.8,6.72
3.44,Lyft,North Station,Boston University,22.5,1,136924c5-46a6-4d5f-80d2-9f223ca4e4d3,lyft_premier,Lux,03-12-2018 14:53,52.71,Boston University,0.74,999.96,0,0.86,6.51
3.44,Lyft,North Station,Boston University,13.5,1,153a6d3b-d230-4370-9878-cc2161e76188,lyft,Lyft,03-12-2018 14:53,52.71,Boston University,0.74,999.96,0,0.86,6.51
2.84,Uber,Fenway,West End,24,1,6590617e-08e1-47a5-8443-39705ed59958,6c84fd89-3f11-4782-9b50-97c468b19529,Black,28-11-2018 09:43,33.15,West End,0.4,991.95,0,0.85,6.78
2.84,Uber,Fenway,West End,10.5,1,9b3cff89-467c-45ea-8a47-3457babd4119,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,28-11-2018 09:43,33.15,West End,0.4,991.95,0,0.85,6.78
2.84,Uber,Fenway,West End,0,1,a0870332-9a05-42f7-8935-d81a4a6cdb41,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,28-11-2018 09:43,33.15,West End,0.4,991.95,0,0.85,6.78
1.35,Uber,Haymarket Square,Beacon Hill,13,1,787d35ee-b251-464f-b2e0-6532920050dd,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,29-11-2018 00:02,39.18,Beacon Hill,0.83,996.08,0,0.67,10.69
1.35,Uber,Haymarket Square,Beacon Hill,0,1,9f8cf794-93b5-4231-948b-65a7ab42dec7,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,29-11-2018 00:02,39.18,Beacon Hill,0.83,996.08,0,0.67,10.69
1.35,Uber,Haymarket Square,Beacon Hill,23,1,c711e262-647b-4b3c-9b53-57bc30176674,6c84fd89-3f11-4782-9b50-97c468b19529,Black,29-11-2018 00:02,39.18,Beacon Hill,0.83,996.08,0,0.67,10.69
1.35,Uber,Haymarket Square,Beacon Hill,35,1,cd02e8af-837b-4143-b35c-d307fb76907b,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,29-11-2018 00:02,39.18,Beacon Hill,0.83,996.08,0,0.67,10.69
